Name,Address,Suburb,Postcode,State,Business Category,Region,latitude,longitude
U3A (Mildura) Bridge Club,Bonnie Doon Road,Monak,2738,VIC,Recreation Group,Monak,-34.18,142.22
George Tindale Memorial Gardens,Melbourne,Melbourne,3000,VIC,Park/Garden/Reserve,North and West Metropolitan Region,-37.81,144.97
Herring Island Environmental Sculpture Park,Yarra River,Melbourne,3000,VIC,Park/Garden/Reserve,North and West Metropolitan Region,-37.81,144.97
Port Phillip,Melbourne,Melbourne,3000,VIC,Park/Garden/Reserve,North and West Metropolitan Region,-37.81,144.97
Yarra River,Melbourne,Melbourne,3000,VIC,Park/Garden/Reserve,North and West Metropolitan Region,-37.81,144.97
ARPA Over 50s Assocation Ltd,"2nd Floor, Block Court",Melbourne,3000,VIC,Recreation Group,North and West Metropolitan Region,-37.81,144.97
Bakpak Group,18 Anthony Street,Melbourne,3000,VIC,Recreation Group,North and West Metropolitan Region,-37.81,144.97
Craft Victoria,31 Flinders Lane,Melbourne,3000,VIC,Recreation Group,North and West Metropolitan Region,-37.81,144.97
International Exchange Programs,"Level 3, 362 La Trobe Street",Melbourne,3000,VIC,Recreation Group,North and West Metropolitan Region,-37.81,144.97
Skate Warehouse,345 Lonsdale Street,Melbourne,3000,VIC,Recreation Group,North and West Metropolitan Region,-37.81,144.97
L.I.F.E - Leaders in Fitness Education for Older Adults,C/o Cota,Melbourne,3000,VIC,Recreation Group,North and West Metropolitan Region,-37.81,144.97
Parks Victoria,"Level 10, 535 Bourke Street",Melbourne,3000,VIC,Recreation Group,North and West Metropolitan Region,-37.81,144.97
Rentabike and Real Melbourne Bike Tours,Docklands Drive,Melbourne,3000,VIC,Recreation Group,North and West Metropolitan Region,-37.81,144.97
Kids Under Kanvas,148 Lonsdale Street,Melbourne,3000,VIC,Recreation Group,North and West Metropolitan Region,-37.81,144.97
Council on the Ageing,"4th Floor, Block Arcade",Melbourne,3000,VIC,Recreation Group,North and West Metropolitan Region,-37.81,144.97
Melbourne City Baths,420 Swanston Street,Melbourne,3000,VIC,Swimming Pool,North and West Metropolitan Region,-37.81,144.97
Deaf Sports Recreation Victoria,"Level 3, 340 Albert Street",East Melbourne,3002,VIC,Recreation Group,North and West Metropolitan Region,-37.82,144.99
Wonderland Park in Docklands,Docklands,Docklands,3008,VIC,Iceskating,North and West Metropolitan Region,-37.81,144.95
Stingrays AUSSI Masters,Footscray Swimming Centre,Footscray,3011,VIC,Swimming Club,North and West Metropolitan Region,-37.8,144.9
Stony Creek Backwash,Hyde Street,Yarraville,3013,VIC,Park/Garden/Reserve,North and West Metropolitan Region,-37.82,144.89
Family Cruising Club of Victoria Inc,292 Douglas Parade,Newport,3015,VIC,Recreation Group,North and West Metropolitan Region,-37.84,144.88
Latinlover,PO Box 1038,Newport,3015,VIC,Recreation Group,North and West Metropolitan Region,-37.84,144.88
Jawbone Flora and Fauna Reserve,Williamstown,Williamstown,3016,VIC,Park/Garden/Reserve,North and West Metropolitan Region,-37.86,144.9
Jawbone Marine Sanctuary,Williamstown,Williamstown,3016,VIC,Park/Garden/Reserve,North and West Metropolitan Region,-37.86,144.9
Point Gellibrand Coastal Heritage Park,Kororoit Creek Road,Williamstown,3016,VIC,Park/Garden/Reserve,North and West Metropolitan Region,-37.86,144.9
Williamstown Little Athletics Centre,Newport Park,Newport,3016,VIC,Little Athletics Club,North and West Metropolitan Region,-37.86,144.9
Altona Little Athletics Centre,Sugar Gum Drive,Altona,3018,VIC,Little Athletics Club,North and West Metropolitan Region,-37.87,144.83
Life Activities Club - Hobsons Bay,Altona,Altona,3018,VIC,Recreation Group,North and West Metropolitan Region,-37.87,144.83
Western Alligators AUSSI Masters,Altona Swim & Fitness Centre,Altona,3018,VIC,Swimming Club,North and West Metropolitan Region,-37.87,144.83
Sunshine Police Youth & Citizens Club,52a Sun Crescent,Sunshine,3020,VIC,Recreation Group,North and West Metropolitan Region,-37.78,144.82
Sunshine Swimming Club,Service Street,Sunshine,3020,VIC,Swimming Club,North and West Metropolitan Region,-37.78,144.82
Sunshine Leisure Centre,5 Kennedy Street,Sunshine,3020,VIC,Swimming Pool,North and West Metropolitan Region,-37.78,144.82
Brimbank School Services,c/o Brimbank Youth Services,St Albans,3021,VIC,Recreation Group,North and West Metropolitan Region,-37.75,144.77
Brimbank YMCA Youth Services,90 Taylors Rd,St Albans,3021,VIC,Recreation Group,North and West Metropolitan Region,-37.75,144.77
St Albans Leisure Centre,Taylors Road,St Albans,3021,VIC,Swimming Pool,North and West Metropolitan Region,-37.75,144.77
Brimbank Little Athletics Centre,Sassella Park,Deer Park,3023,VIC,Little Athletics Club,North and West Metropolitan Region,-37.75,144.75
Hoppers Crossing AUSSI Masters,Laverton Fitness Centre,Laverton,3028,VIC,Swimming Club,North and West Metropolitan Region,-37.87,144.78
Wyndham Leisure & Events Centre,80 Derrimut Road,Hoppers Crossing,3029,VIC,Swimming Pool,North and West Metropolitan Region,-37.88,144.7
Brisbane Ranges National Park,80km west of Melbourne,Werribee,3030,VIC,Park/Garden/Reserve,North and West Metropolitan Region,-37.97,144.58
Cheetham Wetlands,Point Cook,Point Cook,3030,VIC,Park/Garden/Reserve,Point Cook,-37.97,144.58
Point Cook Coastal Park,Point Cook,Point Cook,3030,VIC,Park/Garden/Reserve,Point Cook,-37.97,144.58
Point Cooke Marine Sanctuary,Point Cook,Point Cook,3030,VIC,Park/Garden/Reserve,Point Cook,-37.97,144.58
Werribee Park,Werribee,Werribee,3030,VIC,Park/Garden/Reserve,North and West Metropolitan Region,-37.97,144.58
Werribee Little Athletics Club,VU & Wyndham Sporting Complex,Hoppers Crossing,3030,VIC,Little Athletics Club,North and West Metropolitan Region,-37.97,144.58
"The Centre for Mind, Body & Spirit",11 Princes Highway,Werribee,3030,VIC,Recreation Group,North and West Metropolitan Region,-37.97,144.58
