"postcode","suburb","state","latitude","longitude"
"3000","Melbourne","VIC","-37.81","144.97"
"3001","Melbourne","VIC","-38.37","144.77"
"3002","East Melbourne","VIC","-37.82","144.99"
"3003","West Melbourne","VIC","-37.81","144.94"
"3004","Melbourne","VIC","-37.84","144.98"
"3004","St Kilda Road Central","VIC","-37.84","144.98"
"3005","World Trade Centre","VIC","-37.82","144.95"
"3006","South Wharf","VIC","-37.82","144.97"
"3006","Southbank","VIC","-37.82","144.97"
"3008","Docklands","VIC","-37.81","144.95"
"3010","University Of Melbourne","VIC","-37.8","144.96"
"3011","Footscray","VIC","-37.8","144.9"
"3011","Seddon","VIC","-37.8","144.9"
"3011","Seddon West","VIC","-37.8","144.9"
"3012","Brooklyn","VIC","-37.81","144.85"
"3012","Kingsville","VIC","-37.81","144.85"
"3012","Kingsville West","VIC","-37.81","144.85"
"3012","Maidstone","VIC","-37.81","144.85"
"3012","Tottenham","VIC","-37.81","144.85"
"3012","West Footscray","VIC","-37.81","144.85"
"3013","Yarraville","VIC","-37.82","144.89"
"3013","Yarraville West","VIC","-37.82","144.89"
"3015","Newport","VIC","-37.84","144.88"
"3015","South Kingsville","VIC","-37.84","144.88"
"3015","Spotswood","VIC","-37.84","144.88"
"3016","Williamstown","VIC","-37.86","144.9"
"3016","Williamstown North","VIC","-37.86","144.9"
"3018","Altona","VIC","-37.87","144.83"
"3018","Seaholme","VIC","-37.87","144.83"
"3019","Braybrook","VIC","-37.78","144.86"
"3019","Braybrook North","VIC","-37.78","144.86"
"3019","Robinson","VIC","-37.78","144.86"
"3020","Albion","VIC","-37.78","144.82"
"3020","Glengala","VIC","-37.78","144.82"
"3020","Sunshine","VIC","-37.78","144.82"
"3020","Sunshine North","VIC","-37.78","144.82"
"3020","Sunshine West","VIC","-37.78","144.82"
"3021","Albanvale","VIC","-37.75","144.77"
"3021","Kealba","VIC","-37.75","144.77"
"3021","Kings Park","VIC","-37.75","144.77"
"3021","St Albans","VIC","-37.75","144.77"
"3022","Ardeer","VIC","-37.78","144.8"
"3022","Deer Park East","VIC","-37.78","144.8"
"3023","Burnside","VIC","-37.75","144.75"
"3023","Burnside Heights","VIC","-37.75","144.75"
"3023","Cairnlea","VIC","-37.75","144.75"
"3023","Caroline Springs","VIC","-37.75","144.75"
"3023","Deer Park","VIC","-37.75","144.75"
"3023","Deer Park North","VIC","-37.75","144.75"
"3023","Ravenhall","VIC","-37.75","144.75"
"3024","Mambourin","VIC","-37.9","144.56"
"3024","Mount Cottrell","VIC","-37.9","144.56"
"3024","Wyndham Vale","VIC","-37.9","144.56"
"3025","Altona East","VIC","-37.84","144.86"
"3025","Altona Gate","VIC","-37.84","144.86"
"3025","Altona North","VIC","-37.84","144.86"
"3026","Laverton North","VIC","-37.84","144.8"
"3027","Williams Landing","VIC","-37.86","144.76"
"3028","Altona Meadows","VIC","-37.87","144.78"
"3028","Laverton","VIC","-37.87","144.78"
"3028","Seabrook","VIC","-37.87","144.78"
"3029","Hoppers Crossing","VIC","-37.88","144.7"
"3029","Tarneit","VIC","-37.88","144.7"
"3029","Truganina","VIC","-37.88","144.7"
"3030","Cocoroc","VIC","-37.97","144.58"
"3030","Derrimut","VIC","-37.97","144.58"
"3030","Point Cook","VIC","-37.97","144.58"
